DATAID,VERSION_NUM,ENTITY_NAME,REFERENCE_NUM,ADDRESS_CITY,ADDRESS_COUNTRY
6908627,1,CENTRAL MILITARY COMMISSION OF THE WORKERS’ PARTY OF KOREA(CMC),"KPe.051 ",Pyongyang,Democratic People's Republic of Korea
6908691,1,CHANG AN SHIPPING & TECHNOLOGY,"KPe.055 ",,China
6908516,1,CHONGCHONGANG SHIPPING COMPANY,KPe.022,Pyongyang,Democratic People's Republic of Korea
6908670,1,"CHONMYONG SHIPPING CO ","KPe.056 ",,Democratic People's Republic of Korea
6908026,1,COMPAGNIE AERIENNE DES GRANDS LACS (CAGL) ; GREAT LAKES BUSINESSCOMPANY (GLBC),CDe.003,Goma,Democratic Republic of the Congo
6908025,1,CONGOMET TRADING HOUSE,CDe.004,Butembo,
110394,1,CRUISE MISSILE INDUSTRY GROUP,IRe.010,,
6908499,1,DAEDONG CREDIT BANK (DCB),"KPe.023 ",Pyongyang,Democratic People's Republic of Korea
6908556,1,DCB FINANCE LIMITED,KPe.040,,British Virgin Islands
110393,1,DEFENCE INDUSTRIES ORGANISATION (DIO),IRe.011,,
110392,1,DEFENSE TECHNOLOGY AND SCIENCE RESEARCH CENTER (DTSRC),IRe.012,Tehran,Iran (Islamic Republic of)
110391,1,DOOSTAN INTERNATIONAL COMPANY (DICO),IRe.013,,
113356,1,EASTERN TURKISTAN ISLAMIC MOVEMENT (ETIM),QDe.088,,
113236,1,EGYPTIAN ISLAMIC JIHAD,QDe.003,,
110390,1,ELECTRO SANAM COMPANY,IRe.014,,
2971893,1,EMARAT KAVKAZ,QDe.131,,
110388,1,ETTEHAD TECHNICAL GROUP,IRe.016,,
110387,1,FAJR INDUSTRIAL GROUP,IRe.017,,
110386,1,FARASAKHT INDUSTRIES,IRe.018,Esfahan,Iran (Islamic Republic of)
110385,1,FARAYAND TECHNIQUE,IRe.019,,
110384,1,FATER INSTITUTE,IRe.020,,
6908671,1,"FIRST OIL JV CO LTD ",KPe.057,,Democratic People's Republic of Korea
6908027,1,FORCES DEMOCRATIQUES DE LIBERATION DU RWANDA (FDLR),CDe.005,North Kivu,Democratic Republic of the Congo
6908622,1,FOREIGN TRADE BANK (FTB),KPe.047,Pyongyang,Democratic People's Republic of Korea
690758,1,GENERAL BUREAU OF ATOMIC ENERGY (GBAE),KPe.007,Pyongyang,Democratic People's Republic of Korea
110382,1,GHARAGAHE SAZANDEGI GHAEM,IRe.022,,
110381,1,GHORB KARBALA,IRe.023,,
110380,1,GHORB NOOH,IRe.024,,
113476,1,GLOBAL RELIEF FOUNDATION (GRF),QDe.091,Illinois,United States of America
690761,1,GREEN PINE ASSOCIATED CORPORATION,KPe.010,Pyongyang,Democratic People's Republic of Korea
